total_price_pln,price_pln,czynsz_pln,area_m2,price_per_m2,rooms,floor_number,year_built,building_type,owner_type,lat,lon,has_balcony,has_terrace,has_garden,has_elevator,has_garage,has_parking,has_storage_room,has_air_conditioning,has_furnished,has_dishwasher,has_washing_machine,has_fridge,has_oven,has_intercom,has_monitoring,has_protected_estate,has_pets_allowed,listing_id,has_image_score,avg_confidence_all,avg_confidence_usable,image_score_mean,image_score_weighted,image_score_top2_weighted,image_score_max,best_overall_quality,best_condition,best_modernness,best_furnishing_quality
4200.0,3400.0,800.0,40.0,105.0,2.0,4.0,2019.0,apartamentowiec,private,54.4126697,18.5598886,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,4ae4i,1,0.8,0.8,0.5481,0.5481,0.5481,0.5481,0.9,0.5,0.5,0.8
4900.0,4000.0,900.0,45.0,108.89,2.0,9.0,2019.0,blok,agency,54.4073959,18.6144883,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,4ztiy,1,0.5,0.5,0.2025,0.2025,0.2025,0.2025,1.0,0.0,0.0,0.0
6140.0,2600.0,3540.0,48.9,125.56,2.0,2.0,1980.0,blok,agency,54.356724,18.584996,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,4Ap7D,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3250.67,2700.0,550.67,55.0,59.1,2.0,3.0,1940.0,kamienica,private,54.354933,18.655333,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,4Apkh,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
3300.0,2600.0,700.0,44.0,75.0,2.0,1.0,2022.0,blok,private,54.3116084,18.5726982,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,4kX8i,1,0.5,0.5,0.2025,0.2025,0.2025,0.2025,1.0,0.0,0.0,0.0
4344.0,3710.0,634.0,52.83,82.23,3.0,2.0,2026.0,blok,agency,54.357011004093,18.661089617209,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,4Aof1,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
4682.0,4048.0,634.0,52.83,88.62,3.0,3.0,2026.0,blok,agency,54.357011004093,18.661089617209,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,4Aof0,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
3424.0,2980.0,444.0,34.44,99.42,2.0,6.0,2026.0,blok,agency,54.357011004093,18.661089617209,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,4AofP,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
3100.0,2600.0,500.0,38.0,81.58,2.0,4.0,2019.0,apartamentowiec,agency,54.3295446,18.5672624,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,4zOZQ,0,,,,,,,,,,
4525.0,4000.0,525.0,60.0,75.42,3.0,1.0,2019.0,unknown,private,54.3473181,18.6244098,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,4zYpG,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
